source,keyword,title,category,up_datetime,content,url
Chinatimes,公投綁大選,不只非核家園破產？ 李彥秀爆：蔡政府早把「四大神主牌」全丟了,政治,2023-05-29 12:02,總統蔡英文過去一向堅持推動「2025非核家園」，然而民進黨總統參選人賴清德昨（28）日竟說出，應讓停機的核能機組維持緊急使用效能。台北市議員李彥秀揭露，除了「非核」之外，綠營其實老早把「台獨」、「公投」、「廢死」都棄如敝屣了。賴清德昨(28)日到台大出席「校園總統馬拉松」活動時，有學生提問「若兩岸緊張，天然氣無法進口，如何因應能源短缺？」賴清德回應，目前有關單位正在規畫，如何將已停機的核能機組維持在未來可緊急使用的情況，以備不時之需。李彥秀今（29）日在臉書發文指出，繼民進黨智庫新境界文教基金會副董事長童子賢拋出核一、核二重啟的議題後，短短8天的時間，賴清德也釋出「核能機組緊急使用」的風向，顯見民進黨「2025非核家園」路線已經徹底破產。至於「台獨」議題，李彥秀表示，民進黨早在1999年《臺灣前途決議文》，就徹底揚棄「台獨黨綱」，賴為騙取選票及討好美方，也拋棄「台獨金孫」與「台獨工作者」核心價值。而在「廢死」方面，民進黨在野時以普世價值為名推動廢死，但蔡英文政府在2018年8月及2020年4月，兩度為轉移沸騰的民怨，執行死刑。而公投更是綠營在黨外時期就堅持的價值，民進黨更將公投視為「住民自決」最基本實踐，但2019年6月民進黨蠻橫剝奪人民「公投綁大選」權利，根本是「選前蔡公投，選後蔡砍頭！」李彥秀怒轟，賴清德在「重啟核四」公投時說出，核四蓋蓋停停22年，是古董車，建築安全有疑慮，不同意重啟核四，是為了環境安全，結果現在親口證實不排除重啟「更古董」1978年商轉、2019年停用的核一；以及即將停役1981年商轉的核二，1984年商轉的核三。對於民進黨執政七年，李彥秀總結，「緊張怪中國、經濟怪國際、內政怪國民」，現在四大神主牌跌落神龕，拋棄價值、執政無能徹底成為「喪屍」，蔡英文、賴清德二人帶領的民進黨，窮得只剩追求權力。,https://www.chinatimes.com/realtimenews/20230529001711-260407
Chinatimes,公投綁大選,戴立綱聯手哈遠儀開票 只求有水就好,娛樂新聞,2022-11-24 04:10,九合一大選本周六（26日）登場，中視新聞主播哈遠儀、戴立綱將於當天下午4點聯手播報開票戰況，2人曾在2018年大選合作，加上私下是好友，默契十足，哈遠儀說：「跟戴立綱認識18年，如果丟話給他，他一定接得住。」哈遠儀10年前開始參與大大小小的開票新聞，今年九合一選舉戰況激烈，她因主持新聞節目《庶民大頭家》，每天不斷吸收更新選情資訊，至於屆時需長時間在攝影棚播報，她說會準備保暖小毯子，還有堅果、零食、喉糖等隨時補充，維持最佳備戰狀態。她也預計選舉當天會先去投票，接著進公司緊鑼密鼓做準備。戴立綱也很關注選情，談及今年與4年前大選的差異，他分析：「2018公投綁大選，延遲投票到選舉結果，產生棄保效應，今年會在開票後盡快分析票面讓觀眾知道。」他之前主持政論節目曾一連錄好幾個小時，對於這次將播報開票戰況，完全不擔心體力，只要有水就好，「因為我比較喜歡餓著肚子，不然頭腦會昏昏的。」,https://www.chinatimes.com/newspapers/20221124000561-260112
Chinatimes,公投綁大選,新聞幕後》民進黨機關算盡 2024年50萬青年票飛了,政治要聞,2022-11-27 04:10,民進黨在年輕族群支持度上，向來無往不利，但是今年九合一大選踢到鐵板，民進黨推出的候選人未獲年輕人青睞，選情冷、投票率低，18歲公民權入憲的公民複決案未獲過，民進黨機關算盡，2024年的總統大選，預估少掉50萬年輕選票。年輕世代對民進黨的支持，一直為綠營所自豪，為了擴大年輕選票，蔡英文總統在2020年第二任就職時宣示要修憲，於是民進黨主導在立法院進行修憲討論，講了一堆假議題，真正要做的只有一個就是18歲公民權入憲，因為投票若能至18歲，民進黨估計在2024年總統大選時，可多50萬公民，在他們的想像裡，這50萬初次行使投票權的年輕人，都是他們的。蔡政府在2018年飽嘗10項公投皆大敗後，他們修改《公投法》，公投不得綁大選，但是為了要讓18歲投票成為事實，蔡政府又解釋說，修憲複決投票屬於《憲法》特別規定，不受《公投法》限制，所以可以綁大選。民進黨執政，可不可以，全由民進黨說了算。但是進入2022大選節奏以來，民進黨接連出包，台北市長候選人陳時中的防疫作為，充滿爭議，在選戰中，人設幾度崩落，無法激起年輕人對他的支持，這是民進黨的致命錯誤。選前一周，新竹高中與女中對新竹市長模擬投票，選舉結果是由民眾黨高虹安當選，原本這是一場公民教育，卻被綠營班帳號出征攻擊，未見綠營人士出來約束，年輕人看在心裡，做何感想？過去民進黨每逢選舉就動員「年輕人返鄉投票，捍衛台灣民主」，今年竟出奇地安靜，大學的返鄉專車停辦，高鐵也不推優惠。年輕人不想返鄉投票，在大選前就是一個指標。可歎的是，「公投」是人民行使創制複決的重要權力。但公投已被民進黨玩殘了，民進黨對人民權力的傷害，實在無可饒恕。,https://www.chinatimes.com/newspapers/20221127000366-260118
Chinatimes,公投綁大選,海納百川》國民黨不能畫錯勝選重點（沈迺訓）,海納百川,2022-11-28 16:32,一如預期，此次期中地方大選結果民進黨收下敗績。由縣市長席次增減的絕對數字觀之，民進黨席次表面僅減少一席，實則痛失包括原執政的基、桃、竹在內的基北桃竹四市，將民進黨在北台灣八年的經營打回原形。但如由相對數字觀之，國民黨縣市長總得票數570萬，對上民進黨的474萬，多出96萬票。對比四年前兩黨610萬比489萬，相差121萬，收斂25萬。如再加上尚未投票的嘉義市，恐會呈現民進黨在投票率下降後，仍維持與上屆相同得票數，實質是增加的情況。亦即用縣市長首席次含金量計算，民進黨大輸；如用整體得票數、得票率計算，民進黨還未不如上屆。而在投票率從上屆66.96%到本屆61.22%驟降5%多情況下，藍綠得票仍能各自成長2%多，顯見這次選舉並沒有起到讓淺藍、綠與中間選民出門投票的強烈動能，只呈現出基本盤大對決的型態。因此，如藍營就此貿然定義為民進黨大敗，2024收復在望，將是自欺欺人。原因直指投票率低於上屆，代表選民對當下政治失望選擇觀望，否則大可一如2018以高投票率表達對執政的民進黨不滿。繼四大公投的低投票率，此次選舉依然如此，某種程度反映了中間選民雖不滿民進黨近年執政，但對於國民黨的表現亦稱不上滿意，因此透過放棄投票保留立場。對於國民黨而言，未能在此次選舉得票數與得票率取得極大戰果的原因，應可歸因於國民黨缺乏如同在2018扮演引導民意氣流韓國瑜一類的領航者角色，導致國民黨看似選情風光無比，但在「去中心化」—沒有誰是整場主角的選戰氛圍中，縱然主席朱立倫在本場選戰及格演出「善戰者無赫赫之功」的成績，巧妙安排適當人選下場參選，反而無法塑造出民怨投射的對象，至為可惜。本次選舉意外成功之處，當推讓民意自由准駁18歲公民權與否。至少從過程到結果來看，民進黨雖然力推18歲公投多時，然而其在各黨合力支持通過修憲後，竟行政濫權決以「公投綁大選」，民進黨上下在選舉期間無不假借支持18公民權，舉辦活動拉抬個人與政黨選情，收割霸佔修憲成果的企圖昭然若揭，藉高舉公投大義無端濫用軟實力。最終卻被人民看破手腳，同意票僅560萬，不同意票意外高達501萬，如再加上無效票的68萬，實質呈現不同意加無效票總數多過同意票的結果。須知這並非20歲以上選民不願支持18歲公民權，而是厭惡民進黨消費18歲公投權牟取政黨利益的自私作法，決定用選票懲之。總之，從縣市長大選與18歲公民權公投兩者結果研判，至多只能證明民進黨在大環境失調與參選人選失度、公投期程失當的情況下，無法在縣市長席次取得成長。然而國民黨始終未能大幅拉高全國得票數，反而讓民進黨變相些微成長得票數，證明這場選舉絕對稱不上是完全勝利。一旦來年綠營猶能推出足以凝聚全黨共識的總統人選，而國民黨一方卻猶沉溺於地方大選勝利的迷夢，未能適當整合在野各方共同推出一致人選，2024結果只怕會是悲觀收場。（作者為自由撰稿者）※以上言論不代表旺中媒體集團立場※,https://www.chinatimes.com/opinion/20221128003280-262110
Chinatimes,公投綁大選,國民黨不能畫錯勝選重點,時論廣場,2022-11-29 04:10,一如預期，此次期中地方大選結果民進黨收下敗績。由縣市長席次增減的絕對數字觀之，民進黨席次表面僅減少1席，實則痛失包括原執政的基、桃、竹在內的基北桃竹4市，將民進黨在北台灣8年的經營打回原形。但如由相對數字觀之，國民黨縣市長總得票數570萬，對上民進黨的474萬，多出96萬票。對比4年前兩黨610萬比489萬，相差121萬，收斂25萬。如再加上尚未投票的嘉義市，恐會呈現民進黨在投票率下降後，仍維持與上屆相同得票數，實質是增加的情況。亦即用縣市長首席次含金量計算，民進黨大輸；如用整體得票數、得票率計算，民進黨未必不如上屆。而在投票率從上屆66.96%到本屆61.22%驟降5%多情況下，藍綠得票仍能各自成長2%多，顯見這次選舉並沒有起到讓淺藍、綠與中間選民出門投票的強烈動能，只呈現出基本盤大對決的型態。因此，如藍營就此貿然定義為民進黨大敗，2024收復在望，將是自欺欺人。原因直指投票率低於上屆，代表選民對當下政治失望選擇觀望，否則大可一如2018以高投票率表達對執政的民進黨不滿。繼四大公投的低投票率，此次選舉依然如此，某種程度反映了中間選民雖不滿民進黨近年執政，但對於國民黨的表現亦稱不上滿意，因此透過放棄投票保留立場。對於國民黨而言，未能在此次選舉得票數與得票率取得極大戰果的原因，應可歸因於國民黨缺乏如同在2018扮演引導民意氣流韓國瑜一類的領航者角色。本次選舉意外成功之處，當推讓民意自由准駁18歲公民權與否。民進黨雖然力推18歲公投多時，然而其在各黨合力支持通過修憲後，竟行政濫權決以「公投綁大選」，民進黨上下在選舉期間無不假借支持18公民權，舉辦活動拉抬個人選情，收割霸占修憲成果的企圖昭然若揭。最終卻被人民看破手腳，同意票僅560萬，不同意票意外高達501萬，如再加上無效票的68萬，實質呈現不同意加無效票總數多過同意票的結果。須知這並非20歲以上選民不願支持18歲公民權，而是厭惡民進黨消費18歲公投權牟取政黨利益的自私作法，決定用選票懲之。總之，從縣市長大選與18歲公民權公投兩者結果研判，至多只能證明民進黨在大環境失調與參選人選失度、公投期程失當的情況下，無法在縣市長席次取得成長。然而國民黨始終未能大幅拉高全國得票數，反而讓民進黨變相些微成長得票數，證明這場選舉絕對稱不上是完全勝利。一旦來年綠營猶能推出足以凝聚全黨共識的總統人選，而國民黨一方卻未能推出適當人選，2024結果只怕會是悲觀收場。（作者為自由撰稿者）,https://www.chinatimes.com/newspapers/20221129000475-260109
Chinatimes,公投綁大選,練鴻慶快評》四大公投沒過關的報應,快評,2022-11-30 17:14,去年的四大公投，民進黨傾全黨之力，用政府的資源宣傳，扼殺了公投的過關。其實公投過，是讓民進黨對美國有一個下台階，紓解了民怨；公投沒過，反而讓民怨壓抑至今。就像魯迅說的，「不是在沉默中滅亡，就是在沉默中爆發」。民進黨的「挺萊豬護高端」三劍客——陳時中、鄭運鵬、蔡適應——這次全部落選，就證明了人民記憶力非常良好。但反過來說，如果當年公投過了，會怎樣？萊豬就不用吃了；核四可以重啟了；核四重啟也不用蓋三接，可以保存藻礁；至於公投綁大選，本就是天經地義。民進黨受限於美國、受限於「非核家園」的種種承諾，都可以迎刃而解，試問今年國民黨還能打什麼？大概只剩下「陳時中擋疫苗」這件事，民進黨的壓力，會減輕非常多。公投沒過的報應，展現在這次地方選舉，只能說「善惡到頭終有報」，而對曾為公投付出的每一個人，也是一種告慰。※以上言論不代表旺中媒體集團立場※,https://www.chinatimes.com/opinion/20221130004142-262103
Chinatimes,公投綁大選,沈富雄融合「這兩人」檢討民進黨敗選原因 就教於「無法自我檢討的一方」,政治,2022-12-23 19:44,民進黨九合一大選慘敗，作家苦苓列出了16點原因，前立委林濁水也在臉書上曝9大問題。對此，前立委沈富雄將兩個人所檢討的原因融為一體，並列出各項弊病應予課責的機關，就教於各界，尤其是「無法自我檢討的一方」！民進黨九合一大選慘敗，總統蔡英文也為此辭去黨主席，沒想到18日又輸掉嘉義市長選舉。作家苦苓20日在臉書上PO出一篇「2022民進黨為什麼大敗？」的文章，列出了16點原因。另外，前立委林濁水同一天也在臉書上曝9大問題。對此，前立委沈富雄將兩文融為一體，將各項弊病應予課責的機關列出，就教於各界，尤其是無法自我檢討的一方。沈富雄也期勉，「有則改之，無則警惕」。前立委林濁水20在臉書上披露民進黨敗選9大問題，「就是核心價值的流失：民主、反黑、公平、誠實、正義、擔當、台灣主體性、謙冲篤實、勇氣全面破損，以致於不只不再動人，更不可信賴，終於引起強烈反感」。至於苦苓列出的16點如下：1、想選的偏偏不給選（連初選都沒），不想選的硬是叫去選⋯不輸才怪！2、學位一個一個被取消了，那個「供應」學位的卻什麼事都沒有⋯不輸才怪！3、任滿的自認做得好，居然就幫選民「指定」起接班人來了⋯不輸才怪！4、就算防疫做得還可以，紓困卻沒有幫到許多真正困難的人⋯不輸才怪！5、公投要綁大選就綁、要脫鈎就脫、要再綁就綁，隨便你們怎麼玩⋯不輸才怪！6、明明兵役要延長，又吞吞吐吐拖拖拉拉，搞得人心惶惶⋯不輸才怪！7、「房市三箭」六年只射出半枝，許多人一天比一天住不起房子⋯不輸才怪！8、攻擊對手不擇手段，竟然牽連祖宗三代，還殃及無辜第三者⋯不輸才怪！9、不成比例鋪天蓋地猛打高虹安，好像其他地方都沒在選舉了⋯不輸才怪！10、治安敗壞、詐騙橫行，檢警卻在不斷出入各種「會館」⋯不輸才怪！11、膽敢拿民進黨的公信力去和大學、大企業、宗教團體對賭⋯不輸才怪！12、任意幫對方戴「紅帽子」，卻忘了自己身上也沾到過紅色⋯不輸才怪！13、院長帶著部長成天跟立委拍桌吵架，態度傲慢、不受監督⋯不輸才怪！14、總統搞「自閉」，不理媒體，什麼事都不出來跟民眾溝通⋯不輸才怪！15、槍口聯合對外都還來不及，自己人卻忙著在背後放暗箭⋯不輸才怪！16、再怎麼支持民進黨的人，這下也很難理直氣壯的幫民進黨講話⋯不輸才怪！沈富雄把兩個人所檢討的原因融合，並將各項弊病應予課責的機關列出，就教於各界，尤其是「無法自我檢討的一方」，期勉「有則改之，無則警惕」。,https://www.chinatimes.com/realtimenews/20221223004229-260407
Chinatimes,公投綁大選,反駁批評 內政部稱未駁回基隆護海公投 ,政治,2023-02-02 18:00,基隆四接填海造陸爭議未歇，內政部發函基隆護海公投連署「不屬地方自治事項」，引發民間團體反彈，內政部則解釋為審認並非駁回。國民黨立委賴士葆痛批，中央的權力至高無上，隨著主政者的需求解釋法令，輾壓地方自治。賴士葆指出，公投命運在台灣被民進黨蹂躪得很悲催，公投立意是人民可用投票直接對法律或公共政策表達意見，真正的落實主權在民的直接民權；過去民進黨屢將高門檻的鳥籠公投作為選舉操作工具，包括打破鳥籠公投、公投綁大選等戰略運用，後來因為2018年公投輸了，就挾全面執政優勢沒收公投，將公投與大選脫鉤，公投就是完全配合執政黨的需求來運作，包括中央公投和地方公投的法令解釋在內。前基隆市長、內政部長林右昌2日則解釋，全案並非「駁回」，因為現在的准駁權已回到基隆市政府。基隆市長謝國樑稱，將朝重新公投提案的可行評估，絕對支持公投進行下去。,https://www.chinatimes.com/realtimenews/20230202004662-260407
Chinatimes,公投綁大選,時論廣場》民進黨政客與邪惡的距離（施正鋒）,時論廣場,2023-02-09 18:52,台灣自從民主化以來，蘇貞昌兩任閣揆合計5年半，無人可望其項背，然而，從來沒有一位行政院長像他這麼凶惡過。當年，連戰副總統兼閣揆被反對黨嗆聲，老大不高興，也只是拇指向下表達憤怒；郝柏村老是被民進黨當作提款機挑釁，尤其是選舉將近，軍人出身的他再怎麼作風強硬，從未聽聞備詢口出惡言。唯獨再作馮婦的蘇貞昌，罵起反對黨立委像在訓誡小孩，倚老賣老的身段幾近藐視國會，眾人敢怒不敢言，連議長也視若無睹、唾面自乾。蘇貞昌是出名的酷吏，手下挨訓宛如每天吃三頓飯，罵得越凶、官升得越大，特別是從台北縣長任內就跟班的人，都知道老闆面惡手軟。當年他擔任民進黨主席，執行長吳釗燮每天西裝筆挺、無所事事，有一回被罵到痛哭流涕，終於轉而效命新主蔡英文。其實，他大學是橄欖球校隊，「衝衝衝」反映立竿見影的個性。蔡英文10年前在總統初選出線後請益，蘇貞昌6度回以「然後呢？」，新北選戰落敗組閣，老驥伏櫪、自況邱吉爾，此番又自比袁崇煥，惡而不邪。謝長廷是民進黨內足智多謀的人物，思路清楚、辯才無礙；只不過，國人未必欣賞他的謝式幽默，伶牙利齒、正刨倒削，不免淪於尖酸刻薄，特別是嘴角微揚的表情，又有幾分巧言令色的神情。調查局線民爭議一直揮之不去，深信宋七力分身無怨無悔，南下鹹魚翻身選上高雄市長，卻又被陳水扁杯酒釋兵權北上組閣。自告奮勇出使日本，未能幫蔡英文一桃殺三士外放呂秀蓮、蘇貞昌、游錫堃。從搭檔彭明敏大選就可看出他的機會主義，終究，雖然孤僻無友，卻不邪不惡。陳水扁會唸書、愛考試，見證三級貧戶在科舉制度下問鼎九五。為了擺脫新潮流對美麗島的撻伐，他跟謝長廷分別串連正義連線及福利國。阿扁相當務實，不論是《台獨黨綱》或《台灣前途決議文》，適時對台獨及公投提出條件式的修正，總統就職的「四不一沒有」如出一轍，蔡英文東施效顰。至若於為了連任不惜大選綁公投，投機取巧以為頭過身就過，已經不是普通的邪門。儘管身兼黨魁，陳水扁的行事風格不算霸道，多半曉以大義，勉強是邪而不惡。蔡英文看似小鹿斑比，深得史明及黃昭堂寵愛。民進黨政府大砍18%的軍公教優惠存款，她嬌嗔委屈此後不能捐款弱勢；選前「勞工是我心中最軟的一塊」，選後「你們要自立自強啊」，更不用說勞保年金改革原地踏步。誠然，萊豬進口只能說懦弱無能，公投大選脫鉤是挾國會優勢欺騙百姓，至於中天不予換照儼然戕害言論自由的民選皇帝。藍綠為了黨政同步皆由總統兼黨魁，小英竟然厚顏壟斷立委不分區名單，復以防止跛腳為由惡霸沒收直轄市長提名，既邪又惡。漢娜‧鄂蘭以《平凡的邪惡》（Banality of Evil）描寫反猶戰犯阿道夫‧艾希曼在耶路撒冷受審，納悶看似平庸的人，怎麼會那麼邪惡。民進黨以政治改革、社會關懷、推動台獨起家，蔡英文政府班師回朝，邪惡無比。哀，民進黨的集體沉淪。（作者為國立東華大學民族事務暨發展學系教授）,https://www.chinatimes.com/opinion/20230209005104-262104
Chinatimes,公投綁大選,民進黨政客與邪惡的距離,時論廣場,2023-02-10 04:10,台灣自從民主化以來，蘇貞昌兩任閣揆合計5年半，無人可望其項背，然而，從來沒有一位行政院長像他這麼凶惡過。當年，連戰副總統兼閣揆被反對黨嗆聲，老大不高興，也只是拇指向下表達憤怒；郝柏村老是被民進黨當作提款機挑釁，尤其是選舉將近，軍人出身的他再怎麼作風強硬，從未聽聞備詢口出惡言。唯獨再作馮婦的蘇貞昌，罵起反對黨立委像在訓誡小孩，倚老賣老的身段幾近藐視國會，眾人敢怒不敢言，連議長也視若無睹、唾面自乾。蘇貞昌是出名的酷吏，手下挨訓宛如每天吃三頓飯，罵得越凶、官升得越大，特別是從台北縣長任內就跟班的人，都知道老闆面惡手軟。當年他擔任民進黨主席，執行長吳釗燮每天西裝筆挺、無所事事，有一回被罵到痛哭流涕，終於轉而效命新主蔡英文。其實，他大學是橄欖球校隊，「衝衝衝」反映立竿見影的個性。蔡英文10年前在總統初選出線後請益，蘇貞昌6度回以「然後呢？」，新北選戰落敗組閣，老驥伏櫪、自況邱吉爾，此番又自比袁崇煥，惡而不邪。謝長廷是民進黨內足智多謀的人物，思路清楚、辯才無礙；只不過，國人未必欣賞他的謝式幽默，伶牙利齒不免淪於尖酸刻薄，嘴角微揚的表情又有幾分巧言令色。調查局線民爭議一直揮之不去，深信宋七力分身無怨無悔，南下鹹魚翻身選上高雄市長，卻又被陳水扁杯酒釋兵權北上組閣。自告奮勇出使日本，未能幫蔡英文一桃殺三士外放呂秀蓮、蘇貞昌、游錫堃。從搭檔彭明敏大選就可以看出他的機會主義，終究，雖然孤僻無友，卻不邪不惡。陳水扁會唸書、愛考試，見證三級貧戶在科舉制度下問鼎九五。為了擺脫新潮流對美麗島的撻伐，他跟謝長廷分別串連正義連線及福利國。阿扁相當務實，不論是《台獨黨綱》或《台灣前途決議文》，適時對台獨及公投提出條件式的修正，總統就職的「四不一沒有」如出一轍，蔡英文東施效顰。至若於為了連任不惜大選綁公投，投機取巧以為頭過身就過，已不是普通的邪門。儘管身兼黨魁，陳水扁的行事風格不算霸道，多半曉以大義，勉強是邪而不惡。蔡英文看似小鹿斑比，深得史明及黃昭堂寵愛。民進黨政府大砍18%的軍公教優惠存款，她嬌嗔委屈此後不能捐款弱勢；選前「勞工是我心中最軟的一塊」，選後「你們要自立自強啊」，更不用說勞保年金改革原地踏步。誠然，萊豬進口只能說懦弱無能，公投大選脫鉤是挾國會優勢欺騙百姓，至於中天不予換照儼然戕害言論自由的民選皇帝。藍綠為了黨政同步皆由總統兼黨魁，小英竟然厚顏壟斷立委不分區名單，復以防止跛腳為由惡霸沒收直轄市長提名，既邪又惡。漢娜‧鄂蘭以《平凡的邪惡》描寫反猶戰犯阿道夫·艾希曼在耶路撒冷受審，納悶看似平庸的人，怎麼會那麼邪惡。民進黨以政治改革、社會關懷、推動台獨起家，蔡英文政府班師回朝，邪惡無比。哀，民進黨的集體沉淪。（作者為國立東華大學民族事務暨發展學系教授）,https://www.chinatimes.com/newspapers/20230210000446-260109
