source,keyword,title,category,up_datetime,content,url
Udn,核四,黃士修、楊志良是助攻？扣分？爭議纏身恐成郭台銘陣營第一道難關,要聞,2023-08-30 09:30:16,image source：FB／郭台銘文／陳彥羽郭台銘宣布投入2024總統大選，團隊陣容曝光，由重啟核四公投領銜人黃士修擔任競選辦公室發言人、前衛生署長楊志良納入智庫團。但近日兩人爭議纏身，黃士修傳進郭陣營月薪高達45萬元，以及楊志良喊出「沒辦法修理總統蔡英文才家暴」。楊志良失言惹議　老婆、家暴等關鍵字通通入列楊志良日前於郭台銘「主流民意大聯盟」新竹造勢場合，喊出「沒辦法修理蔡英文才家暴」引發討論，更在記者會當中表明自己不會道歉。隨後又改口於聲明中指出，對於有經歷過家暴的朋友深感抱歉，不過對於蔡政府造成人民水深火熱，痛苦萬分，絕不道歉。根據《KEYPO大數據關鍵引擎》輿情分析系統（日期：2023/08/22～2023/08/28）統計調查，楊志良近一週的網路熱門關鍵字，出現「蔡英文、打老婆、家庭暴力、失言」，網友熱議包括，「自殘、水深火熱、鬱卒、傷痛」等等相關議題。   image source：《KEYPO大數據關鍵引擎》輿情分析系統黃士修傳月薪達45萬　護楊志良槓上王婉諭遭批「曲解是非」外傳黃士修擔任發言人是郭台銘重金禮聘，醫師杜承哲於臉書寫下，「恭喜黃土條得到郭董45萬月薪，並提醒要注意9月的薪水，會不會6個月之後才匯喔！那時已經選完囉。」對此，黃士修也回應，「要買我的自由，代價很貴很貴，但能用不同籌碼支付。你們可以開始揣測了，我要求的價碼，絕對超出任何人的想像」。此外，楊志良有關家暴發言，引起時代力量立委王婉諭批評，楊志良身為公眾人物，最不該傳遞仇恨與偏頗的資訊，這種簡化、錯誤的歸因，不僅無法解釋問題，甚至是在合理化家暴。對此，黃士修批評王婉諭「把家暴扯入政治鬥爭」。而王婉諭反嗆，「這種惡意曲解的發言，我絕不能容忍。」根據《KEYPO大數據關鍵引擎》輿情分析系統（日期：2023/08/22～2023/08/28）統計調查，黃士修近一週的網路熱門關鍵字，出現「土條、發言人、王琬諭」，網友熱議包括，「公投、核四、連署、競選」等等相關議題。   image source：《KEYPO大數據關鍵引擎》輿情分析系統 延伸閱讀  ✎ 台東棒球哥紅到國外！外籍男遊花東遭「逼車＋球棒威脅」　PO論壇嚇問「這在台灣正常嗎」 ✎ 郭台銘宣布參選　外媒最關注這件事！「主流民意大聯盟記者會」外媒提問一文了解 ✎ 快訊／郭台銘宣布　獨立參選2024總統跟不上最新話題、聽不懂網路流行語？小孩子才慢慢爬文搜尋！聰明人都在訂閱【網路溫度計Line Notify】一鍵就訂閱，話題不漏接：https://urlink.io/j72VVVk8想要租屋買房嗎？快來【房產溫度計】 給你完整的房市知識：https://house.dailyview.tw/加入網路溫度計電子報、臉書粉專、IG官方帳號，追蹤最即時火熱的網路新聞！ 2024選舉2024總統選舉郭台銘選民論戰,https://udn.com/news/story/123307/7403697
Udn,核四,藍批民進黨雙標 喊非核家園卻接受日本排放核汙水,要聞,2023-08-29 15:16:47,國民黨宜蘭區域立委參選人黃琤婷今天陪同黨主席朱立倫，赴蘇澳區漁會傾聽漁民心聲，會中重申自己支持侯友宜的能源政策，在安全的前提下重啟核四，也痛批民進黨口口聲聲喊著非核家園、百般阻撓重啟核四，卻對日本近日排放核廢水噤若寒蟬。黃琤婷表示，國民黨總統參選人侯友宜8月9日公布能源政策，提出在安全無虞的前提下重啟核四，這是非常負責任的政策，卻招來民進黨的大舉進攻，不斷拋出廢核、非核家園，要求縣長林姿妙表態，也逼問黃是否支持。黃琤婷今天重申，完全支持侯的能源政策，在安全的狀況下重啟核四。「民進黨要非核家園，但面對日本排放核廢水，我們的政府有講過話嗎？」黃琤婷話鋒一轉，提到日本8月24日開始排放福島核廢水，鄰近國家都發聲抗議，唯有民進黨政府一句話沒有說；在場民眾也激動大喊：「不敢講啦！」黃琤婷說，過去漁民在邊界捕魚，遭到日方百般刁難，抓人、扣船，政府從沒為漁民出聲；現在日方排放核廢水，漁業資源遭到汙染，價錢下跌，「以前是沒辦法捕魚，現在捕到魚也賣不到好價錢！」她若進入國會，會要求政府和日本談判，成立跨國際委員會，到廢水排放的海域調查，是否真如日方所說安全。黃琤婷指出，過去3屆、11年，宜蘭的立委都是民進黨的陳歐珀，從未將基層漁民的心聲傳遞到國會，非常可惜；宜蘭漁民有非常多重要的課題，她和蘇漁理事長蔡源龍討論了遠洋漁業三法的修訂、本國漁工與外籍漁工的薪資差異化，以及日本相關議題等等，都是亟待中央解決的問題。黃琤婷出身南方澳，她說今天看到許多鄉親到現場支持，內心非常感動，在座多是她從小看到大的街坊鄰居或親朋好友，懇請鄉親做她的靠山，也全力支持國民黨與侯友宜，讓政黨再次輪替。國民黨宜蘭立委參選人黃琤婷（右三）在黨主席朱立倫（右二）陪同下，赴宜蘭市昭應宮參拜，隨後前往蘇澳區漁會傾聽漁民心聲。記者陳敬丰／攝影大選快報 ▪不斷更新／2024立委大選！看選區範圍、各政黨提名名單 2024選舉2024立委選舉黃琤婷侯友宜非核家園2024宜花東立委核四😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/123475/7402170
Udn,核四,郭台銘延攬黃士修任總顧問 預計下週啟動連署作業,要聞,2023-08-28 18:05:04,鴻海創辦人郭台銘宣布參選2024總統，展開連署行動。郭台銘參選總統連署總顧問黃士修今天表示，有信心可以過連署門檻，目標份數當然是越多越好，預計下週啟動連署相關作業，並公開徵求各地友善店家、據點一起響應，9月上旬將召開連署辦法說明會。鴻海創辦人郭台銘今天召開「主流民意大聯盟」記者會，他表示，決定以總統參選人的身分，投入2024總統大選。而過去曾發動以核養綠、重啟核四公投領銜人黃士修，則擔任主流民意大聯盟的發言人，以及郭台銘參選總統連署總顧問。根據中選會公告連署參選正副總統的相關時程，9月13日至17日間將受理申請為總統、副總統選舉被連署人，9月19日至11月2日受理連署書件，11月14日前公告總統、副總統選舉連署結果。法定連署門檻為最近一次總統選舉選舉人總數1.5%，2020年總統選舉共1931萬1105選舉人數，因此合格連署書至少需達28萬9667份才可登記。針對未來的連署規劃，黃士修在接受中央社記者訪問時表示，預計9月上旬會召開連署辦法說明會，告訴民眾連署的步驟，由於現在郭台銘已正式宣布參選，預計下周啟動連署相關作業，包含透過社群網站向民眾宣傳即將開始連署，並透過Line系統，請民眾預先登記，待開始連署後，民眾就可以前往離家最近的連署據點連署。黃士修表示，根據中選會規定，9月13日到17日開放申請，而當天必須要登記副手人選，郭台銘會在適當時機向大家報告副手人選，也會開放各縣市的實體據點，並結合線上系統，讓大家事先預約或查詢附近的連署據點，而連署據點會安排服務人員，協助民眾簽署連署書，而後續連署書的回送物流、保防及個資保護都會縝密進行。有信心可以過連署門檻，目標份數當然是越多越好。黃士修指出，對於連署沒有預設任何立場，唯一的立場就是要整合出一組最強的隊伍。有信心可以跨過連署門檻，目標份數越多越好，確保郭台銘取得參賽資格，跟藍白兩黨的總統參選人平起平坐，就可更近一步的談整合出最強的組合。黃士修表示，現在不要先談誰跟誰配、誰正誰副的問題，在野的總統參選人應先談國政、路線跟價值理念，有初步共識後再慢慢協商，待局勢明朗或民調、輿論趨勢逼著在野要整合時，那就來做整合的角色。據了解，目前地方已有支持者自發性的規劃連署據點，黃士修指出，這陣子確實已陸續在跟地方進行聯繫，今天郭台銘正式宣布參選啟動連署，就會公開徵求，希望有更多的友善店家、據點一起響應。支持郭台銘的連署，不是只支持郭台銘選總統，而是支持郭台銘取得資格，進行在野整合。消息人士指出，目前郭辦規劃連署據點擬採雙軌方式進行，一方面透過地方民代、社團系統及支持者自發性的響應，另一方面郭辦也會在全台各地自行找點、租辦公室進行連署。同時也會尋求藍營地方人士的幫忙，願意情義相挺的都非常感激。近郭人士則透露，郭台銘對於連署的結果，並未抱持樂觀或悲觀的態度，就是覺得只要做了就會成功，大家就全力以赴去做就對了。所以無論如何都會繼續走下去，克服一切的困難跟挑戰。投票        鴻海集團創辦人郭台銘宣布參選總統，2024大選以下四個候選人，你想投給誰？     * 單選   郭台銘 32%20651   柯文哲 11%6975   侯友宜 48%30592   賴清德 5%3340   都不投 1%893   不知道/尚未決定 1%719   其他 2%1103  剩餘時間： 91天 14小時  投票頻率： 1天一次    投票看結果 2024選舉2024總統選舉郭台銘黃士修😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/123307/7400081
Udn,核四,黃士修：郭台銘需要鑰匙 我有方法幫他實現,要聞,2023-08-28 13:53:29,鴻海集團創辦人郭台銘今天宣布獨立參選，主流民意大聯盟發言人黃士修透過臉書表示，郭台銘需要鑰匙作為整合的關鍵，「而我正巧有方法幫他實現。」並預告會和郭再開一場記者會，說明總統連署相關事宜，語帶玄機說「希望所有人都已經準備好了。」黃士修說，他跟郭不是破壞者，他們的行動會打破目前政壇僵局，但會倒向哪種結果，需要所有在野陣營共同解答。背棄主流民意的人才會成為全民之敵。黃士修坦言，郭台銘不是老練政治人物，有非常多缺點，但也有獨特的亮點，正因為郭台銘是政治素人，沒有政黨的糾葛，才有資格使在野陣營坐下來談判。郭需要鑰匙作為整合關鍵，自己有辦法幫郭實現黃士修引用電影奧本海默台詞「科學家不是違法者。我們的工作改變了人類的生活條件，但如何利用這些變化是政府的問題，而不是科學家的問題。」說他跟郭台銘不是破壞者，他們的行動能打破現在的政治僵局，至於會導向哪一種結果，不是任何一方的問題，而是需要在野陣營共同解答。黃士修說，過往大家對他的認識多是以核養綠、重啟核四等議題，他並非核能科班出身，但受過數學和物理訓練，除此外是一個普通人，但相信科學，因此用盡所有領域的知識，帶領社群翻轉民粹狂潮；相信民主，因此曾以命相搏，用公民身份對抗違法的國家機器。黃士修感嘆，公民運動如同創業艱辛，過程中他深深感受政治的人情冷暖。當以核養綠、重啟核四等議題在網路上、街頭上延燒，民調支持度節節高升，他身邊突然多了很多政治人物，跟他握手、給他鼓勵。當議題散去，或是核能政策和某些政治人物選舉有所衝突，過往的熱情和寒暄，一瞬間消失的無影無蹤。黃士修說，他不覺得被切割，因為他的工作與核能無關，生活一點也不受影響；感嘆道，只是身為一名亞斯伯格，竟也能從人類行為模式中，體會政治的現實。黃士修認為，搞政治的人，想的從來就不是科學、民主與倫理，而是話題跟選票；他發現，如果不能擺脫既有的框架以及這些揹著政治包袱的人，台灣很難走出當今的困境。黃士修指出，如果沒有整合的契機，這個國家將會被靠著網軍治國、掏空台灣的政黨長期把持；我們每個人都將失去選擇的自由。如果把選票寄託在只考量利益的政治團體上，等於是把拯救台灣脫困的機會，扼殺在某些人的躊躇和盤算之中。鴻海集團創辦人郭台銘（左）、主流民意大聯盟發言人黃士修。   記者曾原信／攝影投票        鴻海集團創辦人郭台銘宣布參選總統，2024大選以下四個候選人，你想投給誰？     * 單選   郭台銘 32%20651   柯文哲 11%6975   侯友宜 48%30592   賴清德 5%3340   都不投 1%893   不知道/尚未決定 1%719   其他 2%1103  剩餘時間： 91天 14小時  投票頻率： 1天一次    投票看結果 2024選舉2024總統選舉黃士修郭台銘55Playback speed1x NormalBack0.25x0.5x1x Normal1.5x2x/SkipAds by 😬 民眾黨幕僚入郭台銘團隊謠言背後 「不滿黃珊珊」茶壺風暴正上演,https://udn.com/news/story/123307/7399542
Udn,核四,政府砸1000億增資台電 藍委：選後電價還是漲,要聞,2023-08-27 14:25:04,行政院拍板中央政府明年度總預算案編列1000億元增資台電，預估今年底電價不會調漲。國民黨立委謝衣鳯說，民眾已經杯水車薪，不要因為漲電價會影響選情，選後卻還是要漲。謝衣鳯指出，去年中央政府總預算編列1500億元，提高電網韌性相關建設，今年疫後特別預算，也編列500億元，要分4年彌補台電虧損，如今明年政府中央政府總預算，又要編1000億元給台電彌補虧損，這3000億元到底夠不夠？謝衣鳯說，台電今年1月到6月虧損超過3000億元，這樣的情況，到年底恐會愈來愈劇烈；扣掉核四帳面殘值2834億元後，即使政府挹注3000億元，台電還是破產的。尤其現在購入綠電成本愈來愈高，今年因為選前，蔡政府不漲價，但選後恐怕還是要漲。 台電謝衣鳯電價😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/6656/7397714
Udn,核四,日核汙水排海 藍議員協尋賴品妤：不也應喊排放個屁嗎？,要聞,2023-08-27 12:17:03,駐日代表謝長廷昨天在臉書發文，指微量的放射性元素對身體有益，被解讀為替日本排放福島核廢水解圍，遭網友砲轟。國民黨台北市議員、侯友宜競選辦公室發言人柳采葳今天也點「民進黨立委賴品妤踹共，東北角漁業不會受到核廢水衝擊嗎？」柳采葳說，⺠進黨這些一直高喊反核的委員，現在都應該對於日本排放核廢水表態。尤其賴品妤委員，核四在她選區內她喊反核，可是別忘了東北角也是漁業興盛的選區，核廢水的東北角漁業難道沒影響嗎?柳說，賴可以為了反核四大小聲，現在怎麼突然間都靜默了?對核四她「重喊啟個屁」，那對日本排放核廢水，不是也應該去喊「排放個屁」嗎?柳采葳說，「大家趕快來協尋賴品妤，問她對於日本排放核廢水的看法」，怎麼幫忙自己東北角的漁業，也順便問問她同不同意謝長廷說的「微量放射性元素對身體有益」！ 2024選舉2024總統選舉謝長廷侯友宜柳采葳賴品妤核廢水核汙水close Advertisements arrow_forward_iosCANCELNEXT VIDEOplay_arrowvolume_off Powered by  GliaStudio 😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/123307/7397471
Udn,核四,經濟日報社論／能源政策還能不調整嗎？,評論,2023-08-27 03:02:37,"瑞典氣候與能源部長日前宣布，為因應迅速升高的能源需求，以及2025到2026年的冬天極可能缺電的困境，規劃在2045年之前，要在目前三座核電廠、六座反應爐的基礎上，再興建十座核反應爐，並取消目前對核反應爐上限為十座的限制。這對遠在亞洲的台灣而言，可說是個重大資訊，因瑞典是極重視環保和「進步價值」的北歐國家，做出如此重大的政策轉變，標示了國際間對核能看法的巨大轉變。基於對「淨零碳排」的重大需要，以及俄烏戰爭拉高能源價格的衝擊，全球主要國家紛紛轉變對核能的看法，歐盟並已經將核能認定為綠能（即使有2050年前必須有高階核廢的最終處置設施，專家也認為不是問題）。先前，英國也決定將2050年的核能比重由目前的17%提高為25%，在2030年之前增建八座核電廠助攻「零碳」，法國更將增建14座核電廠，維持全球核能技術龍頭的寶座。中國大陸甚至規劃在2030年前建造150座核電廠，成為全球最大的核能國家。德國是僅有的歐洲主要國家中堅持廢核的，但德國有其優越的地理條件，可以從鄰國購得電力來補足缺口，台灣在可預見的未來，都沒有這種條件。國際原子能總署去年指出，全球有30個國家正擴張核能發電，包括歐洲先進的法國、西班牙、芬蘭、瑞典、比利時，以及東歐的匈牙利、捷克、羅馬尼亞、斯洛伐克等，他們認為核能可以協助其發展再生能源的同時，維持電力供給無虞並達成減碳目標。將核電廠延役，也是個重大能源趨勢。理論上，核電廠並沒有使用年限，只要持續保養，使用時間可以相當長久。美國早已將執照效期從40年延長到60年，日本也延長為60年。全球135座（占三分之一）核能機組已運轉超過40年，美國甚至有少量機組已服役80年。只要經審查安全，技術上並無運轉年限問題。除了核能的減碳效益外，核電價格低廉，約為風電和太陽光電三分之一或二分之一，可讓民眾在能源轉型時避免電價大幅提高，也是核電的顯著優勢。專家估計，若讓核二和核三延役十年，將可比火力發電省下7,000億元；若加上啟動核四，節省金額又可加倍。這還沒加上核能無碳所節省的巨額「碳費」。小型模塊化核電（SMRs）雖然更安全且機動，但成熟商轉仍要等待。風電和太陽光電除了價格高昂，對環境的負面衝擊已在地狹人稠的台灣顯現，只能循序漸進。天然氣儲存槽巨大且無法維持長期使用數量，即使能解決接收站問題，戰爭威脅下更引發國安疑慮。面對上述諸多發展和外界質疑，蔡政府不僅沒有針對問題回應，日前更由台電以新聞稿表示，近兩年虧損是因俄烏戰爭造成國際燃料成本大漲所致，使用核電比例高的國家，虧損及電價調幅更為嚴峻。這種為維護廢核而提出違反經濟原理的說法令人詫異。台電只舉出法國和韓國電價調漲和虧損金額和幅度高於台灣，即下了如此怪異結論。法國和韓國的經濟規模都遠大於台灣，直接拿虧損金額比較，是刻意造假欺騙民眾；而台灣的電價漲幅低於上述兩國，其實巨大的「漲幅」是隱藏在政府對台電的巨額預算補貼，以及放棄企業的合理利潤，造成台電無力進行新能源研發，全民都在間接支付這種成本。近日爆發執政黨某前立委擔任了約20家能源公司董座，讓民眾合理質疑執政黨堅持廢核，其實是為了黨派謀取私利，協助再生能源和天然氣加速發展來從中牟利。這種疑慮很可能重創民進黨選情。基於上述分析，是執政黨重新檢討核能政策，盡速恢復核能在台灣的能源角色，既能免除民眾疑慮有助於選情，又對台灣能源結構合理化有所助益，何樂而不為？ 社論核能核電電價再生能源55Playback speed1x NormalBack0.25x0.5x1x Normal1.5x2x00:00/03:49SkipAds by 😬 民眾黨幕僚入郭台銘團隊謠言背後 「不滿黃珊珊」茶壺風暴正上演",https://udn.com/news/story/7338/7396842
Udn,核四,名家縱論／未來能源政策的較佳選項,評論,2023-08-27 02:37:51,侯友宜發表能源政策，主張以核代煤、燃氣不過半、穩健發展綠能，達到二○三○煤低於十五％，二○五○淨零的目標，以根本解決台灣面臨的缺電、電價上漲、排碳及能源安全的困局。蔡政府則回應上述問題並不存在，並強調電力供應無虞，同時稱核廢料無法處理無法發展核能。本文除根據最新資料釐清，並以二○三○年的能源配比，比較侯及蔡政府規畫案優劣。首先談缺電。過去七年全台大停電四次，說不缺電很難服眾。供電無虞的指標是電力系統的備轉容量率大於或等於十％，根據政府今年六月公布的「全國電力資源供需報告」，今明兩年夜間備用容量率分別為四點五％及五點二％，處於供電警戒的橘燈，怎可說是「供電無虞」？以上估計仍過度樂觀。以大潭九號機與大潭新七號機為例，因按計畫明年商轉於是計入供電，但其氣源第三接收站需在二五年六月後才完工，即使有廠也無氣可用，怎能計入？且過去七年再生能源每年計畫增設量從未如期達標，若假設今年至二七年每年增設太陽光電及風電目標同一七至二二年實際執行率，並將大潭九號機及新七號機組扣掉，明年日間備轉容量率將為一點二％，夜間則為負數，必然限電，除非經濟負成長。二○二五年之後由於協和四接及台中五接環評至今未過，且台電採購民營發電有進度落後與尚未招標問題，影響二五至二七年新增供電，台灣將有長期缺電之虞。政府對策是加強電力調度，如縮短機組歲修時間，但趕工不免造成人為失誤，並因維修不到位而故障。因此造成的停電，也因缺電而起。比較二○三○年能源配比，由碳排量來看，侯的配比因為多了無碳且可提供基載的核能選項，容許以核代煤及燃氣，其排碳能源占比為五十九％，低於國發會的七十％；且侯的每度電的排碳量為○點二九公斤，低於國發會的○點三六公斤。系統穩定度方面，侯規畫核能占比十二％係透過核一、二、三廠的延役及核四（一號機）重啟來達成。這比國發會可提供更多的基載電力，基載加上中載（燃氣）的電力達七十三％，亦高於國發會（七十％），利於系統穩定，且單就三座核能機組延役就能將二六至三○年備轉容量率提高到十四％以上，真正做到供電無虞。至於核廢料處理問題，四十年內可採用乾式儲存，這是卅二個擁核國家的通用辦法；最終選址方面，國際成功案例包括芬蘭、瑞典、法國、瑞士等，有可以解決問題的技術可引進，台灣可用無人島或境外合作找尋最終存放場址。在目前擁核國家只有德國和我國採取非核政策的情形下，蔡政府卻仍堅持說非核是世界主流，顯見受民進黨「非核家園」黨綱框限；侯友宜所提兼顧排碳及能源供應的政策，應是國家未來能源政策的較佳選項。（作者為中央大學管理講座教授） 核能停電核廢料缺電😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/7339/7396939
Udn,核四,扁市府二備金呆帳 26年難核銷,地方,2023-08-27 00:21:09,台北市長蔣萬安上任後，要面對柯市府任內許多爭議賠款和預算，國民黨市議員秦慧珠昨揭露，還有一筆在前市長陳水扁任內的二備金呆帳，長達26年，有1527餘萬不能核銷。藍綠白黨團昨對是否核銷無共識，北市主計處指出，此案前經市議會決議「不同意動支」在案，未來仍積極向議會溝通。秦慧珠表示，這筆呆帳是由觀傳局的前身、新聞處在88年會計年度，編列台北電影節預算2438萬7000元，議會審議刪除438萬7000元，通過2000萬元，但陳水扁不甩議會的審議，反而另外動支二備金1527萬6560元辦理影展周邊活動，讓電影節預算膨脹。秦慧珠指出，陳水扁下台後，馬英九前市長將這筆二備金再送審，議會在民國95年6月9日三讀通過「不同意動支」。此案後來的郝龍斌、柯文哲市長任內未再處理，以至延宕至今，這1527萬仍列在帳上無法核銷。這筆呆帳糾纏了26年，又落在蔣萬安市長頭上。陳水扁前市長不尊重議會職權的惡例，讓後來的市長和市府吃盡苦頭，只能期待蔣市府繼續跟議會溝通，解決這個陳年老案了。不過是否核銷，藍綠白黨團意見不一，民眾黨團總召黃瀞瑩表示，市府應該盡快想辦法與議會溝通，早日解決這筆帳。國民黨黨團書記長王欣儀認為，蔣萬安市府現在興利除弊是事情很多，這不像是柯文哲北藝、北纜的爛帳，面臨要賠償，20幾年前的爛帳，為何現在去管他？民進黨北市議會黨團總召簡舒培說，如果現在把前朝的帳核銷，無疑是自打臉，也是打當時議員的臉，且若現在允予核銷，不是代表市府不尊重議會剛剛好而已？這筆帳就是要掛在帳上，讓後任的市長都知道，如果不尊重議會，議會就不同意核銷，議會草率地核銷，對市民也是不負責任的行為。北市主計處長鄭瑞成表示，此案前經市議會決議「不同意動支」在案，主計處尊重議會決議，未來仍將積極溝通，建議是否比照核四民調案，由市府編預算案，送議會審議通過，轉帳核銷。 陳水扁秦慧珠55Playback speed1x NormalBack0.25x0.5x1x Normal1.5x2x/SkipAds by 😮 你到底在哪？北捷APP「相約列車」定位功能救路癡 6招教你用,https://udn.com/news/story/7323/7396955
Udn,核四,賴品妤稱「被推倒」到改口「狂追才跌倒」 8月遭炎上3高點揭曉,要聞,2023-08-26 15:35:04,"image source：翻攝自鍾沛君臉書文／陳宣懿民進黨立委賴品妤24日追訪途中摔倒，怒控記者「你為什麼推我」，不過她事發後在臉書改口，因被對方狂追才跌倒。她表示是記者不斷跳針、提問重複的問題，一路尾隨不停騷擾她、靠近她，甚至肢體碰觸，她才摔倒。對此，國民黨台北市議員徐巧芯狂酸賴品妤是「金馬獎最佳女主角AKA嫁禍小公主」。賴品妤摔倒藍綠掀論戰　單日破14萬筆討論根據《KEYPO大數據關鍵引擎》輿情分析系統（日期：2023/07/26～2023/08/24）統計調查，近一個月賴品妤聲量最高點出現在8月24日，共14萬1,630筆討論。當天賴品妤邊跑邊受訪，結果摔倒後斥責追問的記者推人。對此，《中天新聞》發出強調，「民進黨中央及民進黨立委與側翼抺黑中天記者採訪過程中對賴品妤有貼身騷擾、肢體接觸，還抹黑記者是慣犯，民進黨完全是睜眼說瞎話，而且是抹黑慣犯」。另外，民進黨發言人卓冠廷表示，該名記者刻意貼身騷擾、肢體接觸的行為，已是慣犯，這樣的行為已造成當事人的人身安全疑慮，本黨深表遺憾。藍綠雙方各說各話，引起各自的支持者熱烈討論。國民黨台北市議員鍾沛君轟「妳個假摔仔，好了啦！」而民進黨高雄市議員黃捷表示，賴品妤被記者用違反新聞倫理的方式追逼，導致人身安全受到傷害，有許多媒體、在野黨民代持續嘲諷她，這儼然是霸凌。綠電爭議纏身登聲量第二高點　賴品妤衝雨中拒再答賴品妤聲量第二高點出現在8月16日，共2萬8,653筆討論。由於賴品妤的父親賴勁麟擔任多家綠能公司董事長，遭質疑民進黨反核是為了發大財。對於被國民黨人士指控「政治性反核」，賴品妤8月16日回應，早就在她2020年參選時，這些事情就已經全部都被講過了，「對於這樣子冷飯熱炒，我覺得非常遺憾」。面對記者追問，賴品妤衝雨中拒答。另外，賴品妤聲量第三高點出現在8月9日，共2萬8,610筆討論。當天館長陳之漢拿出賴品妤Cosplay照片，稱她「胸部都快跑出來」，批「物化動漫」，對此，賴品妤回嗆，「你沒有資格決定我是什麼樣子。」   image source：《KEYPO大數據關鍵引擎》輿情分析系統分析說明分析區間：本文分析時間範圍為2023年07月26日至2023年08月24日。 資料來源： 《KEYPO大數據關鍵引擎》輿情分析系統擁有巨量資料，以人工智慧作語意分析之工具資料蒐集範圍：每月處理1000億以上中文資料的網路社群大數據資料庫，其內容涵蓋Facebook、YouTube、新聞媒體、討論區、部落格等網站。 研究方法：《KEYPO大數據關鍵引擎》輿情分析系統擁有巨量資料，以人工智慧作語意分析之工具資料蒐集範圍：每月處理1000億以上中文資料的網路社群大數據資料庫，其內容涵蓋Facebook、YouTube、新聞媒體、討論區、部落格等網站，針對討論『賴品妤』相關文本進行分析，調查「網路聲量」(註1)作為本分析依據。 *註1 網路聲量：透過『KEYPO大數據關鍵引擎』輿情分析系統，計算社群討論及新聞報導提及的文章則數，聲量越高代表討論越熱，能見度越高。 延伸閱讀  ✎ 核四重啟恐無法成行？台電年底標售燃料棒 預估可回收50億台幣 ✎ 賴品妤摔倒嗆記者推人！慢動作影片曝光　藍綠政治人物意見分歧 ✎ 2024選戰／郭台銘提「三隻小豬」然後呢？ 無助結盟好感度反墜跟不上最新話題、聽不懂網路流行語？小孩子才慢慢爬文搜尋！聰明人都在訂閱【網路溫度計Line Notify】一鍵就訂閱，話題不漏接：https://urlink.io/j72VVVk8想要租屋買房嗎？快來【房產溫度計】 給你完整的房市知識：https://house.dailyview.tw/加入網路溫度計電子報、臉書粉專、IG官方帳號，追蹤最即時火熱的網路新聞！大選快報 ▪不斷更新／2024立委大選！看選區範圍、各政黨提名名單 2024選舉2024立委選舉賴品妤鍾沛君陳之漢館長😬 民眾黨幕僚入郭台銘團隊謠言背後 「不滿黃珊珊」茶壺風暴正上演",https://udn.com/news/story/123475/7395725
