source,keyword,title,category,up_datetime,content,url
Udn,藻礁,「護航開發 自廢武功」 環團：環保部門讓環評倒退30年,要聞,2023-08-23 02:59:05,國人原本期待環境影響評估制度是為環境品質把關的利器，但近年來的重大開發案都無往不利，鮮少在環評卡關，環團批評，尤其為了增加天然氣發電的第三、第四天然氣接收站，先後拿環境敏感的藻礁和國際商港基隆港開刀，光電案場除了農田、濕地，也爬上丘陵、山坡，連珍稀的石虎棲地也被光電板占領，全因環評自廢武功。珍愛藻礁公投發起人潘忠政說，民進黨完全執政後，守護大潭藻礁、大潭海域生態的理念均不復存在，蔡英文總統當年提字「藻礁永存」，卻為了蓋三接，環評連千年藻礁都不要，何等諷刺。守護外木山行動小組召集人王醒之表示，環保部門護航開發且讓環評機制倒退三十年，呼籲新任環境部長薛富盛別讓環境部「新瓶裝舊酒」，要站穩保育環境的立場保護台灣海岸生態、保護基隆港營運，也期待新任環評委員能用客觀、合法、專業的態度面對四接開發案，並捍衛環評制度中民眾參與的精神，讓環境部「升格」名副其實。環保署前副署長詹順貴期許環評要開大門、走大路，這也是環境部首要面對的燙手山芋。台灣石虎保育學會常務理事李景泓表示，目前設光電場不必做環評，真的就是政府「自廢武功」。 環評大潭藻礁環境部😮 行動電源充電時爆炸！台電提「3不3要」充電守則 照著做就安心,https://udn.com/news/story/7314/7387827
Udn,藻礁,侯友宜改變態度提重啟核四 林姿妙：沒有回應,要聞,2023-08-09 16:41:50,國民黨總統參選人侯友宜今天提出能源政策，若當選總統將重啟核四，與她2021年公投時的立場相反；同樣在公投時反對重啟核四的宜蘭縣長林姿妙，今天面對侯友宜提出重啟核四，只回以四字：「沒有回應」。侯友宜今天公布能源政策，表示將延役核一、核二、核三，並邀請專家學者成立「核四總體安全審查委員會」，檢修核四現有機組，在安全無虞的情況下，重啟核四；侯說，重啟核電、核電廠延役是國際趨勢，台灣要回到理性專業討論，不要老是說政治。回到2021年底，四大公投「重啟核四」、「反萊豬進口」、「公投綁大選」、「珍愛藻礁」，國民黨主張「四個同意」，但時任新北市長的侯友宜卻與黨中央唱反調，表示不支持重啟核四；當時林姿妙在議會接受質詢，同樣持反對態度，「為了縣民健康，反對在沒安全前提下商轉核四」。如今侯友宜改變態度，宣布若當選將重啟核四；林姿妙僅表示，「沒有回應」。國民黨總統參選人侯友宜提出將重啟核四，2021年時反對重啟核四的宜蘭縣長林姿妙僅表示，「沒有回應」。本報資料照 2024選舉2024總統選舉侯友宜核四核電😮 行動電源充電時爆炸！台電提「3不3要」充電守則 照著做就安心,https://udn.com/news/story/123307/7358007
Udn,藻礁,小燕鷗桃園海岸現蹤 279隻創3年新高,生活,2023-08-07 01:00:16,桃園沿海是二級保育類小燕鷗主要繁殖棲地。桃園市野鳥學會昨天公布調查結果，今年夏季抵達桃園海岸繁殖的小燕鷗279隻小燕鷗，創3年最高紀錄，同時也是當地居民守護海岸的最佳成果證明。小燕鷗俗稱白額燕鷗，每年5至7月是繁殖季，牠們從澳洲飛來台灣，喜歡群聚在開闊的海邊沙礫地，築巢養育幼雛，包括桃園市竹圍漁港北堤、許厝港重要濕地、富林溪出海口、白玉海灘、大潭藻礁G1、G2區等，直到7、8月再南返。桃園市野鳥學會今年動員志工普查，6月18日上午8點起，桃園海岸線分為18區，每區由2人1組的志工同步清查，昨天公布共調查到279隻，比去年的168隻，及前年的208隻都多。桃園市野鳥學會理事長劉義仁表示，值得注意的是竹圍漁港北堤，往年是小燕鷗群聚的最大棲地，但今年大部分小燕鷗在抵達觀音海岸後就陸續降落，只有少數繼續往北飛抵竹圍漁港及許厝港，觀音海岸群聚241隻小燕鷗，占總數8成6，凸顯野生動物對於棲地選擇的不確定性。 桃園野鳥大潭藻礁55Playback speed1x NormalBack0.25x0.5x1x Normal1.5x2x00:00/04:15SkipAds by 想看可愛萌寵、寵物健康保健資訊、教養方法、帶牠們去哪吃喝玩樂，快來加入寵物部落粉絲團！點我前往：https://www.facebook.com/udnpet,https://udn.com/news/story/7470/7350990
Udn,藻礁,小燕鷗桃園海岸現蹤 279隻創3年新高,udn寵物部落,2023-08-07 01:00:16,桃園沿海是二級保育類小燕鷗主要繁殖棲地。桃園市野鳥學會昨天公布調查結果，今年夏季抵達桃園海岸繁殖的小燕鷗279隻小燕鷗，創3年最高紀錄，同時也是當地居民守護海岸的最佳成果證明。   小燕鷗俗稱白額燕鷗，每年5至7月是繁殖季，牠們從澳洲飛來台灣，喜歡群聚在開闊的海邊沙礫地，築巢養育幼雛，包括桃園市竹圍漁港北堤、許厝港重要濕地、富林溪出海口、白玉海灘、大潭藻礁G1、G2區等，直到7、8月再南返。   桃園市野鳥學會今年動員志工普查，6月18日上午8點起，桃園海岸線分為18區，每區由2人1組的志工同步清查，昨天公布共調查到279隻，比去年的168隻，及前年的208隻都多。   桃園市野鳥學會理事長劉義仁表示，值得注意的是竹圍漁港北堤，往年是小燕鷗群聚的最大棲地，但今年大部分小燕鷗在抵達觀音海岸後就陸續降落，只有少數繼續往北飛抵竹圍漁港及許厝港，觀音海岸群聚241隻小燕鷗，占總數8成6，凸顯野生動物對於棲地選擇的不確定性。 鳥類  😲 消毒耳機用紫外線燈「會壞嗎」？內行人2清潔招數不讓人生那麼累   想看可愛萌寵、寵物健康保健資訊、教養方法、帶牠們去哪吃喝玩樂，快來加入寵物部落粉絲團！點我前往：https://www.facebook.com/udnpet,https://pets.udn.com/pets/story/122674/7350990
Udn,藻礁,二級保育類小燕鷗現蹤桃園海岸 數量創3年新高,udn寵物部落,2023-08-06 14:19:03,每年5至7月是二級保育類小燕鷗繁殖季，小燕鷗會遠從澳洲飛來台灣，築巢孵蛋並養育幼雛，直到7至8月再南返，桃園沿海則成為小燕鷗的主要繁殖棲地。桃園市野鳥學會今天公布今年夏季抵達桃園海岸繁殖的二級保育鳥類小燕鷗的調查結果，共計調查到279隻小燕鷗，是3年來最高紀錄。   小燕鷗俗稱白額燕鷗，是珍貴的第二級保育類動物，牠們喜歡群聚在開闊的海邊沙礫地築巢，包括竹圍漁港北堤、許厝港重要濕地、富林溪出海口、白玉海灘、大潭藻礁G1、G2區等皆是小燕鷗在桃園沿海的主要繁殖棲地。   桃園市野鳥學會理事長劉義仁表示，今年普查是由所有志工共同動員，自6月18日上午8點起，沿著桃園海岸線從與新北市林口區交界的北界開始，一直到與新竹縣新豐鄉交界的南界，分為18區，每區由2人1組的志工同步清查，最終統計數量達到279隻，比去年的168隻以及前年的208隻都多。   劉義仁表示，在今年普查結果中，值得注意的是竹圍漁港北堤往年是小燕鷗群聚的最大棲地，但今年大部分小燕鷗在抵達觀音海岸後就陸續降落，只有少數繼續往北飛抵竹圍漁港及許厝港，普查結果顯示，觀音海岸群聚了241隻小燕鷗，佔總數的8成6，凸顯野生動物對於棲地選擇的不確定性。   野鳥學會表示，桃園海岸提供更多適合小燕鷗繁殖的棲地是好事，同時也是當地居民守護海岸的最佳成果證明，此次調查結果為保育工作提供了重要的參考依據，也凸顯社區對於野生動物保育的重視與努力，讓桃園成為小燕鷗繁殖的安全港灣。桃園沿海是小燕鷗的主要繁殖棲地，桃園市野鳥學會公布今年夏季抵達桃園海岸繁殖的二級保育鳥類小燕鷗的調查結果，共計調查到279隻小燕鷗，是3年來最高紀錄。圖／桃園市野鳥學會提供 鳥類   🎧︎ 英文聽力快速提升！快跟著做超有感練習方式   想看可愛萌寵、寵物健康保健資訊、教養方法、帶牠們去哪吃喝玩樂，快來加入寵物部落粉絲團！點我前往：https://www.facebook.com/udnpet,https://pets.udn.com/pets/story/122674/7350326
Udn,藻礁,二級保育類小燕鷗現蹤桃園海岸 數量創3年新高,生活,2023-08-06 14:19:03,每年5至7月是二級保育類小燕鷗繁殖季，小燕鷗會遠從澳洲飛來台灣，築巢孵蛋並養育幼雛，直到7至8月再南返，桃園沿海則成為小燕鷗的主要繁殖棲地。桃園市野鳥學會今天公布今年夏季抵達桃園海岸繁殖的二級保育鳥類小燕鷗的調查結果，共計調查到279隻小燕鷗，是3年來最高紀錄。小燕鷗俗稱白額燕鷗，是珍貴的第二級保育類動物，牠們喜歡群聚在開闊的海邊沙礫地築巢，包括竹圍漁港北堤、許厝港重要濕地、富林溪出海口、白玉海灘、大潭藻礁G1、G2區等皆是小燕鷗在桃園沿海的主要繁殖棲地。桃園市野鳥學會理事長劉義仁表示，今年普查是由所有志工共同動員，自6月18日上午8點起，沿著桃園海岸線從與新北市林口區交界的北界開始，一直到與新竹縣新豐鄉交界的南界，分為18區，每區由2人1組的志工同步清查，最終統計數量達到279隻，比去年的168隻以及前年的208隻都多。劉義仁表示，在今年普查結果中，值得注意的是竹圍漁港北堤往年是小燕鷗群聚的最大棲地，但今年大部分小燕鷗在抵達觀音海岸後就陸續降落，只有少數繼續往北飛抵竹圍漁港及許厝港，普查結果顯示，觀音海岸群聚了241隻小燕鷗，佔總數的8成6，凸顯野生動物對於棲地選擇的不確定性。野鳥學會表示，桃園海岸提供更多適合小燕鷗繁殖的棲地是好事，同時也是當地居民守護海岸的最佳成果證明，此次調查結果為保育工作提供了重要的參考依據，也凸顯社區對於野生動物保育的重視與努力，讓桃園成為小燕鷗繁殖的安全港灣。桃園沿海是小燕鷗的主要繁殖棲地，桃園市野鳥學會公布今年夏季抵達桃園海岸繁殖的二級保育鳥類小燕鷗的調查結果，共計調查到279隻小燕鷗，是3年來最高紀錄。圖／桃園市野鳥學會提供 桃園野鳥想看可愛萌寵、寵物健康保健資訊、教養方法、帶牠們去哪吃喝玩樂，快來加入寵物部落粉絲團！點我前往：https://www.facebook.com/udnpet,https://udn.com/news/story/7470/7350326
Udn,藻礁,台灣中油董事長李順欽：協助穩定能源供應 積極推動綠能轉型,雜誌,2023-08-02 08:49:08,全球目前正面臨能源轉化與淨零碳排的重大挑戰，台灣也持續從非核家園開始推動一連串能源改革政策。就淨零碳排的部分，首當其衝受到影響的絕對是油品市占率達七十八‧九％的台灣中油公司。另一方面隨著二○二五非核家園即將到來，被視為政策關鍵的天然氣發電，也需要中油持續完善供氣網絡，在台灣的能源供應上，台灣中油公司絕對佔有舉足輕重的角色。文•陳建維   攝影•徐裕庭一九四六年創立於上海，已走過七十七個年頭的台灣中油公司，以油氣進口、探勘、開發、煉製、輸儲與銷售、石油化學原料之生產供應為主要業務，加油（氣）站遍布全台，在台灣的能源發展史占有重要關鍵地位。歷經油品自由化、四次石油危機，在歷任董事長的努力下，中油都帶領國人走過歷次重大挑戰。面對二○二五非核家園、二○五○淨零永續的新時代即將到來，在現任董事長李順欽的心中，是一個對於中油來說相當重要的契機，一方面配合政府政策，強化供氣穩定，另一方面從全球化的創新思維出發，投入研發新關鍵材料，必定能開拓屬於中油的全新世代。強化天然氣供應韌性兼顧生態永續發展燃氣五十％、燃煤三十％、再生能源二十％的電力結構，是二○二五非核家園的重要政策內容，其中天然氣不僅取得方便、相對再生能源來說發電成本較低，供電也相對可靠穩定，更是在過渡時期邁向淨零碳排、綠能家園的重要橋梁，所以在政府的現階段能源政策中，減媒、增氣、展綠（電）是重要的能源發展三政策，對於中油來說，最重要的使命就是增氣，先穩定供氣，再有台電穩定供電。身為國內唯一進口天然氣的公司，增氣是非常艱辛的任務，最主要的原因是以台灣的進口及使用條件來看，必須先在海上興建液化天然氣接收站，後續還得建置儲槽、氣化設施（進口時是液化天然氣），才能供應給天然氣發電廠或民生（約占兩成）使用。目前中油公司擁有高雄永安、台中兩座液化天然氣接收站，營運量合計為每年一千六百五十萬噸。為了提升我國天然氣供應韌性，中油在北（桃園）、中（台中）、南（高雄）前後斥資三千七百九十三億推動七項液化天然氣接收站增（擴）建計畫，期望能在二○三一年全部計畫完成後，將整體接收站營運能力提升至每年三千四百萬噸，並以海陸輸氣管網絡相互備援，確保我國天然氣供應穩定及安全。而在穩定供氣之餘，民眾最關切的仍舊是興建接收站是否能與環境共存的相關議題，如位於桃園大潭電廠西北側海岸、位於觀塘工業區的第三座液化天然氣接收站，在二○二一年面臨環保團體發起的公投檢驗。最後公投未通過，開發案得以順利開展，中油持續努力開發與環境永續達到平衡。為保護當地生態環境，中油本就以減空汙、穩供電、護藻礁為主要目標，提出「迴避替代修正方案」，將開發範圍由原先的二三二公頃縮減為二十三公頃，讓觀塘潮間帶藻礁區能保留現況，同時將工業港外推四五五公尺，大幅降低對潮間帶藻礁之影響，不僅工程總期程延展二年半，總經費更增加到九百多億，就是為了兼顧生態平衡。於此同時，中油也廣納各方專業人士，成立生態保育執行委員會，更捐資十億成立生態保育信託基金。經過與地方保育機關的合作，在桃園市野鳥協會的協助指導保育下，也觀察到小燕鷗族群擴大，可說經由地方開發所啟動的保護作為，反而促進當地的生態保育更加蓬勃發展，中油也希望觀塘未來能成為生態港，展現開發與生態平衡的永續樣貌。推動多元能源供應拓展各式可行商模隨著能源轉型成為全球趨勢，電動車與燃油車價格勢必面臨黃金交叉，對於擁有一千九百一十九站、占比高達七十六．五五％的台灣中油來說，將加油站的商業模式從加油轉型為「多元能源供應」，同時提供「換電」與「快速充電」是未來的發展目標。在中油的規劃中已在二○二二年達到九百站換電、一百站充電的目標，透過換電站的設置，同時也能配合政府鼓勵民眾選購電動車的意願。而在電動車充電站的設置上，則規劃在二○二五年於全台二十八座加油站建置八十四座充電槍設施。值得一提的是，在目前已建置完成的示範場站，中油都特別透過電能管理EMS系統進行電力調配以提升其效能。除了佈建充、換電站之外，中油也非常注重氫能技術研發及市場發展趨勢，李董事長認為未來的能源市場將是「得氫能者得天下」，尤其氫能可由天然氣提煉，又是零碳能源，未來勢必在能源市長上佔有重要地位，為了跨入相關領域，中油正計畫推動設置國內第一座加氫示範站，以天然氣重組產氫技術（SMR）並搭配碳捕捉與封存技術（CCS）生產藍氫，期待在未來法令確定後，能拓展多元能源補給服務與新通路營銷模式。除了能源供應面向，中油也持續推展一般多元民生服務，如洗車、車輛快速保養、來速咖啡、便利商店…等，並導入行動支付（CPC PAY），搭配車牌辨識系統進行客戶消費模式的大數據分析，建構精準服務，提升消費者的黏著度，讓各場站能持續邁向永續經營。台灣中油公司董事長李順欽表示中油將積極推動綠能轉型。強化材料及產製優勢同步拓展再生能源能源是否得以運用，除了開發之外，儲能更是關鍵，尤以電動車研發來說，儲能系統更是決勝關鍵，中油早已投入自有電池材料研發，更早已規畫建置年產一千噸之鈦酸鋰（LTO）及年處理十二萬噸重質油裂解軟碳試量產工廠，其中鈦酸鋰以安全、壽命長，充放電次數高達萬次以上受到市場矚目，對於大型儲能系統所需之負極材料具有極大優勢。而軟碳則可用做於電動機車、小型儲能設備等快速充放電運用，經過日本驗證，性能也相當優異，更可大幅應用在光電、航太、生醫領域。利用油品減少帶動公司走向材料轉型，李董事長霸氣表示：「以前是Intel Inside的裝置，豐富地球上每一個人生活，期待以後能有CPC inside，帶給下一代嶄新未來」。除了新材料的轉型研發，中油也針對二○五○淨零碳排設定了「優油」、「減碳」、「潔能（潔淨能源）」為發展策略，潔能的重點則放在拓展再生能源裝置容量，並發展氫能相關技術。再生能源的部分以建置太陽光電系統、開發國內地熱能為主（宜蘭），也同步開發生質能與合成燃料（e-fuel）技術。重要的是，經濟部已將中油公司未來發展方向定位在氫能供應商，故除了推動建置加氫示範站之外， 中油也持續蒐集氫能相關資訊、研究石化燃料利用碳捕捉、再利用與封存（CCUS）製氫技術，期能在未來成為國內重要的氫能供應商。持續精進管理制度完善品質安全至上  針對二○二二年在嘉義大林煉油廠不慎發生的第三重油加氫脫硫工廠（NO.3 RDS）事故，李董事長堅定的表示「沒有工安就沒有工廠」。這次的事件發生後，中油在第一時間就立刻展開各項工安精進作為。在設備面上先將此次發生問題之空氣冷卻器（E-3004）設備材質油不銹鋼提升為鎳合金，並增設氫氣偵測器以即時監控設備安全。制度面上則針對關鍵性設備進行危害及可操作性分析（HAZOP），辨識高風險因子及全面清查相關材質。在執行面上則修訂相關工作指導書，落實人員教育訓練以強化其緊急應變能力，並且依適當時間去做本質安全設計檢討。最後，秉持著「公司轉型、數位先行」的概念，公司也引進人工智慧工安的概念，在即時監視、自動檢查電子化、工作許可電子化及重點設備VR訓練，同時落實工作流程管理，提升承攬商管理有效性，確保人員作業安全。從單純的油品行銷到穩定國內天然氣能源供應，再到新能源的研發及參與、多角化的經營及持續精進的制度管理，中油已由提煉重油為主的「黑金能源」逐漸轉型為「綠金能源」的推動者，中油已陪伴台灣民眾七十幾個年頭，不變的初衷永遠都將是「台灣中油為大家加油打氣、大家為台灣加油打氣。」卓越雜誌2023.8號448期 55Playback speed1x NormalBack0.25x0.5x1x Normal1.5x2x00:00/04:32SkipAds by 😫 上班久坐腰酸背痛、肩頸僵硬嗎? 簡單三招舒緩腰部、肩頸疼痛,https://udn.com/news/story/6853/7339532
Udn,藻礁,中油「海洋公民科學家尋找柴山多杯孔珊瑚」活動 8月開跑,產經,2023-07-31 15:55:11,台灣中油公司舉辦海洋公民科學家活動，邀請民眾一同尋找保育類動物-柴山多杯孔珊瑚蹤跡，活動從112年8月1日起至9月30日止，只要在桃園、高雄及台東以外縣市（含離島地區）之海域拍攝到柴山多杯孔珊瑚即可參加，經評選優勝者最高可獲得2萬元的中油禮物卡，歡迎踴躍參加。海洋公民科學是一種公民參與科學調查的方法，在不同的區域及時間，收集與海洋相關的觀察資料，透過回報數據的統計分析，可以貢獻海洋資料庫的完備與加強海洋監測能力。海委會海洋保育署在111年研擬出全國第一份「臺灣海洋公民科學家行動策略」，鼓勵民眾一起關心海洋生態，個個都可以成為海洋公民科學家。柴山多杯孔珊瑚為我國第一級保育類物種，這個種類很少被紀錄，目前已知僅在桃園藻礁、高雄及台東海域有正式調查紀錄。為掌握其他縣市柴山多杯孔珊瑚分布情形，台灣中油舉辦海洋公民科學家活動，準備豐富的獎勵，邀請民眾到海邊尋找柴山多杯孔珊瑚的蹤影，並依照活動辦法拍攝與紀錄。台灣中油將成立評選小組，針對投稿照片進行評選，前三名分別為2萬元、1萬元及5千元中油禮物卡（各1名），希望號召海洋公民科學家，一起關切海洋生態、重視保育動物，參與海洋公民科學紀錄與調查。有興趣成為海洋公民科學家的民眾，可至台灣中油公司全球資訊（https://www.cpc.com.tw/）下載活動簡章、拍攝紀錄表等報名文件，獲獎照片將在112年底前選出，得獎資訊將公告在台灣中油公司全球資訊網及台灣中油FB粉絲專頁。 中油公司珊瑚💡 當0056、00878變飆股！高股息 ETF 罕見大行情來臨 存股族該如何應對？,https://udn.com/news/story/7241/7337019
Udn,藻礁,反對龍科擴建 民眾擠爆公聽會,地方,2023-07-27 00:21:10,行政院推動龍潭科學園區3期擴建，預計2025年徵收土地，新竹科學園區管理局昨天舉辦第一次公聽會，反龍科第3期擴建案自救會高喊口號、拉白布條抗議，居民不滿強制徵收擠爆會場，砲聲隆隆。竹科局表示，居民權益都會有保障，並以開發成本配售規畫社區用地蓋房。去年大選期間，時任行政院長的蘇貞昌宣布啟動龍潭園區第3期擴建計畫，面積達158.59公頃，提供台積電一奈米以下先進製程生產基地；該計畫位於龍科東側基地，其中80.66公頃事業專用區供廠商建廠，並規畫14.65公頃社區用地配售原所有權人，現有居住人口約3795人。場外抗議 龍科擴建案第一次公聽會，引發反龍科自救會批評政府掠奪土地，拉白布條、喊口號抗議。記者曾增勳／攝影首場公聽會昨在龍潭區婦幼館舉辦，包括當地居民、民代在內500多人擠爆會場，許多年長夫婦攜手參加，憂心忡忡。吳姓老夫妻和陳姓住戶等人說，他們世居此地，堅決反對家園被徵收；二位在地里長說，居民幾乎都反對。民進黨市議員張肇良質疑竹科局手法粗糙，擴建案上有很多墳墓、祭祀公業、農地和建地，都不願搬遷；地方不反對半導體產業進駐，但搬遷配套、老農津貼問題，竹科沒考量在地心聲。自救會及政大教授徐世榮、藻礁公投領銜人潘忠政多人在場拉白布條抗議，激憤高喊「停止掠奪土地、停止家園迫遷」，自救會馮小姐說，「政府為特定企業擴廠，我們就必須被迫離開生活的土地。」現場民眾關心土地徵收補償價格、公廳及墳墓後續遷移，以及農民保險及老農津貼權益問題；竹科局人員表示，將委託2家估價師查估，由不動產估價師公會審查後，取價高者當協議價購基礎，公廳及墳墓部分將收集居民意見評估補償及安置。竹科管理局副局長陳淑珠表示，因應高科技產業需求和維持半導體競爭優勢，龍科3期擴建案，由政府出面做一般徵收，政府不會強奪民地，會持續溝通。 自救會半導體行政院😬 郭台銘宣布參選總統 與侯柯都「不自認是老二」未來如何整合？,https://udn.com/news/story/7324/7327500
Udn,藻礁,龍科擴建首次公聽會砲聲隆隆 3800人迫遷自救會抗議,地方,2023-07-26 13:16:19,行政院積極推動竹科龍潭科學園區2025年徵收土地，竹科管理局今在龍潭區，辦理龍科擴建計畫用地取得第一次公聽會，反龍科第三期擴建案自救會拉白布條抗議，高喊「停止家園迫遷」，會場居民擠爆，不滿強制徵收音砲聲隆隆，強調他們世代住在這裡，反對家園被徵收和搬遷。去年大選期間，行政院前院長蘇貞昌宣布竹科龍潭園區第3期159公頃土地啟動，提供台積電一奈米以下先進製程生產基地，為龍科3 期擴大興建主因，竹科管理局計畫在龍潭、楊梅、平鎮交界的龍潭園區東側基地擴建，面積高達158.59公頃，其中私有土地869筆、高達87.61%，徵收土地以農牧用地為主，並包括德龍國小及居住聚落在內，最新統計人口約3795人。龍科擴建用地第一場公聽會在龍潭區婦幼館舉辦，包括民代在內吸引500多人到場擠爆會場，許多年長民眾夫婦攜手參加憂心忡忡，現場居民砲聲隆隆，龍潭吳姓老人夫妻和陳姓住戶等人說，他們世居此地，有的已100多年，現在突然說要徵收，他們堅決反對。部分里長表示，徵收土地範圍大，現在還住有許多住戶，反對、同意居民人一半一半，住在那裡的居民幾乎反對。反龍科第三期擴建案自救會及台灣居住正義關懷聯盟、政大教授徐世榮、藻礁公投領銜人潘忠政多人在場拉白布條抗議，激憤高喊「停止掠奪土地、停止家園迫遷」，自救會馮小姐說，政府為特定企業擴廠，難道居民就必須被迫遷離生活的土地。徐世榮憤怒表示，竹科擴建興辦計畫，都沒告訴民眾，只用一句話「我需要土地，我要發展二奈米以下的半導體」，就要迫遷3800多人，這是宣稱民主、愛台灣的本土地政權所為。竹科管理局副局長陳淑珠，龍科3期公聽會將辦兩場，今天是第一場，針對所有鄉親地主說明龍科3期未來擴建規畫，因應高科技產業需求和維持半導體競爭優勢，由政府出面做一般徵收，公聽會讓民眾充分表達訴求、讓民眾清楚了解權益保障，政府不會在民眾不願意下強奪民地，未來會持續溝通，希望達成促進地方發展、國家產業競爭力和保障地主權益三贏局面。市議員張肇良認為竹科管理局先前做法粗糙。龍科擴建徵收159公頃，居民兩派意見，上面有很多墳墓、祭祀公業、農地和建地，住在那邊或地上物的人大都不願搬遷，助搬遷配套、老農以後的老農津貼怎麼辦，地方不反對半導體產業進駐，竹科沒有考量在地心聲，作法粗糙，他建議應採區段徵收，讓民眾至少可保有土地。龍科擴建案第一次公聽會擠爆參與，現有住戶憂心忡忡，不少鄉親反對徵收。記者曾增勳／攝影龍科擴建案第一次公聽會砲聲隆隆，列為徵收範圍德龍國小將搬遷。記者曾增勳／攝影龍科擴建案第一次公聽會砲聲隆隆，列為徵收範圍的許多聚落居民擔心、不少人反對徵收。記者曾增勳／攝影龍科擴建案第一次公聽會擠爆，許多民眾關心權益，不少鄉親擔心和反對徵收。記者曾增勳／攝影 竹科😮 行動電源充電時爆炸！台電提「3不3要」充電守則 照著做就安心,https://udn.com/news/story/7324/7326135
